"keys","pt","en","es","fr","de","it","ru","ja","zh"
"Ganha já 24 horas de lucros.","Ganha já 24 horas de lucros.","Instantly earn 24 hours of profits.","Gana ya 24 horas de ganancias.","Gagnez 24 heures de profits d'un coup.","Erhalte sofort 24 Stunden Gewinn.","Ottieni subito 24 ore di profitti.","Получи сразу 24 часа прибыли.","24時間分の利益を即獲得。","立即获得24小时利润。"
"Esquadrão Instantâneo","Esquadrão Instantâneo","Instant Squadron","Escuadrón instantáneo","Escadron instantané","Sofort-Geschwader","Squadrone Istantaneo","Мгновенная эскадрилья","即時飛行隊","即时中队"
"+10 drones imediatamente, sem custo em créditos.","+10 drones imediatamente, sem custo em créditos.","+10 drones instantly, no credit cost.","+10 drones al instante, sin coste en créditos.","+10 drones immédiatement, sans coût en crédits.","+10 Drohnen sofort, ohne Credit-Kosten.","+10 droni subito, senza costo in crediti.","+10 дронов сразу, без затрат кредитов.","ドローン +10 機を即座に、クレジット不要。","立即 +10 架无人机，无需信用点。"
"Combo Duradouro","Combo Duradouro","Lasting Combo","Combo duradero","Combo durable","Anhaltende Combo","Combo Duraturo","Долгое комбо","持続コンボ","持久连击"
"O combo demora o DOBRO do tempo a expirar. Permanente.","O combo demora o DOBRO do tempo a expirar. Permanente.","Combo takes TWICE as long to expire. Permanent.","El combo tarda el DOBLE en expirar. Permanente.","Le combo met DEUX FOIS plus de temps à expirer. Permanent.","Combo läuft DOPPELT so langsam ab. Dauerhaft.","Il combo impiega il DOPPIO del tempo a scadere. Permanente.","Комбо истекает ВДВОЕ дольше. Навсегда.","コンボの持続時間が2倍に。永続。","连击过期时间延长一倍。永久有效。"
"Primeira Entrega","Primeira Entrega","First Delivery","Primera entrega","Première livraison","Erste Lieferung","Prima Consegna","Первая доставка","初配達","首次送达"
"Completa a primeira entrega.","Completa a primeira entrega.","Complete your first delivery.","Completa tu primera entrega.","Complétez votre première livraison.","Schließe deine erste Lieferung ab.","Completa la tua prima consegna.","Выполни первую доставку.","初めての配達を完了。","完成你的首次送达。"
"Cem Entregas","Cem Entregas","One Hundred Deliveries","Cien entregas","Cent livraisons","Hundert Lieferungen","Cento Consegne","Сто доставок","100配達","百次送达"
"Completa 100 entregas.","Completa 100 entregas.","Complete 100 deliveries.","Completa 100 entregas.","Complétez 100 livraisons.","Schließe 100 Lieferungen ab.","Completa 100 consegne.","Выполни 100 доставок.","100回配達を完了。","完成100次送达。"
"Mil Entregas","Mil Entregas","One Thousand Deliveries","Mil entregas","Mille livraisons","Tausend Lieferungen","Mille Consegne","Тысяча доставок","1,000配達","千次送达"
"Completa 1 000 entregas.","Completa 1 000 entregas.","Complete 1,000 deliveries.","Completa 1000 entregas.","Complétez 1 000 livraisons.","Schließe 1 000 Lieferungen ab.","Completa 1 000 consegne.","Выполни 1 000 доставок.","1,000回配達を完了。","完成1,000次送达。"
"Dez Mil Entregas","Dez Mil Entregas","Ten Thousand Deliveries","Diez mil entregas","Dix mille livraisons","Zehntausend Lieferungen","Diecimila Consegne","Десять тысяч доставок","10,000配達","万次送达"
"Completa 10 000 entregas.","Completa 10 000 entregas.","Complete 10,000 deliveries.","Completa 10 000 entregas.","Complétez 10 000 livraisons.","Schließe 10 000 Lieferungen ab.","Completa 10 000 consegne.","Выполни 10 000 доставок.","10,000回配達を完了。","完成10,000次送达。"
"Pequena Frota","Pequena Frota","Small Fleet","Flota pequeña","Petite flotte","Kleine Flotte","Piccola Flotta","Малый флот","小規模艦隊","小型机队"
"Tem 5 drones activos.","Tem 5 drones activos.","Have 5 active drones.","Ten 5 drones activos.","Avoir 5 drones actifs.","Habe 5 aktive Drohnen.","Possiedi 5 droni attivi.","Имей 5 активных дронов.","稼働ドローン5機を保有。","拥有5架活跃无人机。"
"Frota Sólida","Frota Sólida","Solid Fleet","Flota sólida","Flotte solide","Solide Flotte","Flotta Solida","Крепкий флот","堅実な艦隊","稳固机队"
"Tem 25 drones activos.","Tem 25 drones activos.","Have 25 active drones.","Ten 25 drones activos.","Avoir 25 drones actifs.","Habe 25 aktive Drohnen.","Possiedi 25 droni attivi.","Имей 25 активных дронов.","稼働ドローン25機を保有。","拥有25架活跃无人机。"
"Exército de Drones","Exército de Drones","Drone Army","Ejército de drones","Armée de drones","Drohnen-Armee","Esercito di Droni","Армия дронов","ドローン軍団","无人机军团"
"Tem 100 drones activos.","Tem 100 drones activos.","Have 100 active drones.","Ten 100 drones activos.","Avoir 100 drones actifs.","Habe 100 aktive Drohnen.","Possiedi 100 droni attivi.","Имей 100 активных дронов.","稼働ドローン100機を保有。","拥有100架活跃无人机。"
"Força Aérea","Força Aérea","Air Force","Fuerza aérea","Force aérienne","Luftwaffe","Forza Aerea","ВВС","航空隊","空军"
"Tem 500 drones activos.","Tem 500 drones activos.","Have 500 active drones.","Ten 500 drones activos.","Avoir 500 drones actifs.","Habe 500 aktive Drohnen.","Possiedi 500 droni attivi.","Имей 500 активных дронов.","稼働ドローン500機を保有。","拥有500架活跃无人机。"
"Atacado","Atacado","Wholesale","Al por mayor","Gros","Großhandel","Ingrosso","Оптом","大量購入","批发"
"Compra 100 drones de uma vez.","Compra 100 drones de uma vez.","Buy 100 drones at once.","Compra 100 drones de una vez.","Achetez 100 drones d'un coup.","Kaufe 100 Drohnen auf einmal.","Compra 100 droni in una volta.","Купи 100 дронов за раз.","一度に100機のドローンを購入。","一次购买100架无人机。"
"Milionário","Milionário","Millionaire","Millonario","Millionnaire","Millionär","Milionario","Миллионер","ミリオネア","百万富翁"
"Acumula 1 M de créditos.","Acumula 1 M de créditos.","Accumulate 1M credits.","Acumula 1 M de créditos.","Accumulez 1 M de crédits.","Sammle 1 Mio. Credits.","Accumula 1 M di crediti.","Накопи 1 млн кредитов.","クレジットを100万貯める。","累积100万信用点。"
"Bilionário","Bilionário","Billionaire","Multimillonario","Milliardaire","Milliardär","Miliardario","Миллиардер","ビリオネア","亿万富翁"
"Acumula 1 B de créditos.","Acumula 1 B de créditos.","Accumulate 1B credits.","Acumula 1 B de créditos.","Accumulez 1 Md de crédits.","Sammle 1 Mrd. Credits.","Accumula 1 B di crediti.","Накопи 1 млрд кредитов.","クレジットを10億貯める。","累积10亿信用点。"
"Trilionário","Trilionário","Trillionaire","Billonario","Billionnaire","Billionär","Trilionario","Триллионер","トリリオネア","兆万富翁"
"Acumula 1 T de créditos.","Acumula 1 T de créditos.","Accumulate 1T credits.","Acumula 1 T de créditos.","Accumulez 1 Bn de crédits.","Sammle 1 Bio. Credits.","Accumula 1 T di crediti.","Накопи 1 трлн кредитов.","クレジットを1兆貯める。","累积1万亿信用点。"
"Fluxo de Caixa","Fluxo de Caixa","Cash Flow","Flujo de caja","Flux de trésorerie","Cashflow","Flusso di Cassa","Денежный поток","キャッシュフロー","现金流"
"Ganha 10 B no total.","Ganha 10 B no total.","Earn 10B total.","Gana 10 B en total.","Gagnez 10 Md au total.","Verdiene 10 Mrd. gesamt.","Guadagna 10 B in totale.","Заработай 10 млрд всего.","合計100億を獲得。","累计赚取100亿。"
"Magnata","Magnata","Tycoon","Magnate","Magnat","Magnat","Magnate","Магнат","大富豪","大亨"
"Ganha 1 T no total.","Ganha 1 T no total.","Earn 1T total.","Gana 1 T en total.","Gagnez 1 Bn au total.","Verdiene 1 Bio. gesamt.","Guadagna 1 T in totale.","Заработай 1 трлн всего.","合計1兆を獲得。","累计赚取1万亿。"
"Rendimento Sólido","Rendimento Sólido","Solid Income","Ingresos sólidos","Revenu solide","Solides Einkommen","Rendita Solida","Крепкий доход","堅実な収益","稳固收入"
"Atinge 1 000/s de receita.","Atinge 1 000/s de receita.","Reach 1,000/s income.","Alcanza 1000/s de ingresos.","Atteignez 1 000/s de revenu.","Erreiche 1 000/s Einkommen.","Raggiungi 1 000/s di entrate.","Достигни дохода 1 000/с.","収益1,000/sに到達。","达到1,000/s收入。"
"Máquina de Dinheiro","Máquina de Dinheiro","Money Machine","Máquina de dinero","Machine à cash","Geldmaschine","Macchina da Soldi","Денежная машина","マネーマシン","赚钱机器"
"Atinge 1 M/s de receita.","Atinge 1 M/s de receita.","Reach 1M/s income.","Alcanza 1 M/s de ingresos.","Atteignez 1 M/s de revenu.","Erreiche 1 Mio./s Einkommen.","Raggiungi 1 M/s di entrate.","Достигни дохода 1 млн/с.","収益100万/sに到達。","达到100万/s收入。"
"Expansão Global","Expansão Global","Global Expansion","Expansión global","Expansion mondiale","Globale Expansion","Espansione Globale","Глобальное расширение","グローバル展開","全球扩张"
"Expande para o 2.º país.","Expande para o 2.º país.","Expand to the 2nd country.","Expande al 2.º país.","Étendez-vous au 2e pays.","Erweitere zum 2. Land.","Espandi al 2º paese.","Расширься во 2-ю страну.","2番目の国へ拡大。","扩张至第2个国家。"
"Continente","Continente","Continent","Continente","Continent","Kontinent","Continente","Континент","大陸","大陆"
"Expande para 5 países.","Expande para 5 países.","Expand to 5 countries.","Expande a 5 países.","Étendez-vous à 5 pays.","Erweitere auf 5 Länder.","Espandi a 5 paesi.","Расширься на 5 стран.","5カ国へ拡大。","扩张至5个国家。"
"Dominação Mundial","Dominação Mundial","World Domination","Dominación mundial","Domination mondiale","Weltherrschaft","Dominio Mondiale","Мировое господство","世界制覇","统治世界"
"Expande para 10 países.","Expande para 10 países.","Expand to 10 countries.","Expande a 10 países.","Étendez-vous à 10 pays.","Erweitere auf 10 Länder.","Espandi a 10 paesi.","Расширься на 10 стран.","10カ国へ拡大。","扩张至10个国家。"
"Urbanista","Urbanista","Urban Planner","Urbanista","Urbaniste","Stadtplaner","Urbanista","Градостроитель","都市計画者","城市规划师"
"Desbloqueia 10 cidades no total.","Desbloqueia 10 cidades no total.","Unlock 10 cities total.","Desbloquea 10 ciudades en total.","Débloquez 10 villes au total.","Schalte 10 Städte gesamt frei.","Sblocca 10 città in totale.","Разблокируй 10 городов всего.","合計10都市を解放。","累计解锁10座城市。"
"Megalópole","Megalópole","Megalopolis","Megalópolis","Mégalopole","Megalopolis","Megalopoli","Мегаполис","メガロポリス","特大都市"
"Desbloqueia 50 cidades no total.","Desbloqueia 50 cidades no total.","Unlock 50 cities total.","Desbloquea 50 ciudades en total.","Débloquez 50 villes au total.","Schalte 50 Städte gesamt frei.","Sblocca 50 città in totale.","Разблокируй 50 городов всего.","合計50都市を解放。","累计解锁50座城市。"
"Engenheiro","Engenheiro","Engineer","Ingeniero","Ingénieur","Ingenieur","Ingegnere","Инженер","エンジニア","工程师"
"Chega ao nível 25 num upgrade.","Chega ao nível 25 num upgrade.","Reach level 25 in an upgrade.","Llega al nivel 25 en una mejora.","Atteignez le niveau 25 sur une amélioration.","Erreiche Stufe 25 bei einem Upgrade.","Raggiungi il livello 25 in un potenziamento.","Достигни 25 уровня улучшения.","アップグレードをレベル25に到達。","某项升级达到25级。"
"Mestre Técnico","Mestre Técnico","Master Technician","Maestro técnico","Maître technicien","Meistertechniker","Maestro Tecnico","Мастер-техник","マスターテクニシャン","技术大师"
"Chega ao nível 100 num upgrade.","Chega ao nível 100 num upgrade.","Reach level 100 in an upgrade.","Llega al nivel 100 en una mejora.","Atteignez le niveau 100 sur une amélioration.","Erreiche Stufe 100 bei einem Upgrade.","Raggiungi il livello 100 in un potenziamento.","Достигни 100 уровня улучшения.","アップグレードをレベル100に到達。","某项升级达到100级。"
"Frota Optimizada","Frota Optimizada","Optimized Fleet","Flota optimizada","Flotte optimisée","Optimierte Flotte","Flotta Ottimizzata","Отлаженный флот","最適化艦隊","优化机队"
"Todos os upgrades ao nível 25+.","Todos os upgrades ao nível 25+.","All upgrades at level 25+.","Todas las mejoras al nivel 25+.","Toutes les améliorations au niveau 25+.","Alle Upgrades auf Stufe 25+.","Tutti i potenziamenti al livello 25+.","Все улучшения на уровне 25+.","全アップグレードをレベル25以上に。","所有升级达到25级以上。"
"Talentoso","Talentoso","Talented","Talentoso","Talentueux","Talentiert","Talentuoso","Талантливый","才能あり","天赋异禀"
"Chega ao nível 10 num talento.","Chega ao nível 10 num talento.","Reach level 10 in a talent.","Llega al nivel 10 en un talento.","Atteignez le niveau 10 sur un talent.","Erreiche Stufe 10 bei einem Talent.","Raggiungi il livello 10 in un talento.","Достигни 10 уровня таланта.","タレントをレベル10に到達。","某项天赋达到10级。"
"Influente","Influente","Influential","Influyente","Influent","Einflussreich","Influente","Влиятельный","影響力のある人","影响力人物"
"Acumula 50 de influência total.","Acumula 50 de influência total.","Accumulate 50 total influence.","Acumula 50 de influencia total.","Accumulez 50 d'influence totale.","Sammle 50 Einfluss gesamt.","Accumula 50 di influenza totale.","Накопи 50 влияния всего.","合計50の影響力を貯める。","累积50点总影响力。"
"Obsessivo","Obsessivo","Obsessive","Obsesivo","Obsessionnel","Besessen","Ossessivo","Одержимый","執念家","痴迷者"
"Compra o Núcleo de Lucro 5 vezes.","Compra o Núcleo de Lucro 5 vezes.","Buy the Profit Core 5 times.","Compra el Núcleo de Ganancias 5 veces.","Achetez le Noyau de profit 5 fois.","Kaufe den Gewinnkern 5 Mal.","Compra il Nucleo di Profitto 5 volte.","Купи Ядро прибыли 5 раз.","利益コアを5回購入。","购买利润核心5次。"
"Novo Começo","Novo Começo","New Beginning","Nuevo comienzo","Nouveau départ","Neuanfang","Nuovo Inizio","Новое начало","新たな始まり","全新开始"
"Faz prestige pela primeira vez.","Faz prestige pela primeira vez.","Prestige for the first time.","Haz prestigio por primera vez.","Faites prestige pour la première fois.","Mache zum ersten Mal Prestige.","Fai prestigio per la prima volta.","Сделай престиж впервые.","初めてプレステージする。","首次转生。"
"Veterano","Veterano","Veteran","Veterano","Vétéran","Veteran","Veterano","Ветеран","ベテラン","老兵"
"Faz prestige 3 vezes.","Faz prestige 3 vezes.","Prestige 3 times.","Haz prestigio 3 veces.","Faites prestige 3 fois.","Mache 3 Mal Prestige.","Fai prestigio 3 volte.","Сделай престиж 3 раза.","プレステージを3回行う。","转生3次。"
"Piloto Lendário","Piloto Lendário","Legendary Pilot","Piloto legendario","Pilote légendaire","Legendärer Pilot","Pilota Leggendario","Легендарный пилот","レジェンドパイロット","传奇飞行员"
"Faz prestige 5 vezes.","Faz prestige 5 vezes.","Prestige 5 times.","Haz prestigio 5 veces.","Faites prestige 5 fois.","Mache 5 Mal Prestige.","Fai prestigio 5 volte.","Сделай престиж 5 раз.","プレステージを5回行う。","转生5次。"
"Semana de Trabalho","Semana de Trabalho","Work Week","Semana de trabajo","Semaine de travail","Arbeitswoche","Settimana di Lavoro","Рабочая неделя","勤務週間","工作周"
"Joga 7 dias consecutivos.","Joga 7 dias consecutivos.","Play 7 days in a row.","Juega 7 días seguidos.","Jouez 7 jours d'affilée.","Spiele 7 Tage in Folge.","Gioca 7 giorni di fila.","Играй 7 дней подряд.","7日連続でプレイ。","连续游玩7天。"
"Mês Dedicado","Mês Dedicado","Dedicated Month","Mes dedicado","Mois dévoué","Engagierter Monat","Mese Dedicato","Преданный месяц","献身の1ヶ月","专注一月"
"Joga 30 dias consecutivos.","Joga 30 dias consecutivos.","Play 30 days in a row.","Juega 30 días seguidos.","Jouez 30 jours d'affilée.","Spiele 30 Tage in Folge.","Gioca 30 giorni di fila.","Играй 30 дней подряд.","30日連続でプレイ。","连续游玩30天。"
"Piloto Fiel","Piloto Fiel","Loyal Pilot","Piloto fiel","Pilote fidèle","Treuer Pilot","Pilota Fedele","Верный пилот","忠実なパイロット","忠诚飞行员"
"Joga 30 dias no total.","Joga 30 dias no total.","Play 30 days total.","Juega 30 días en total.","Jouez 30 jours au total.","Spiele 30 Tage gesamt.","Gioca 30 giorni in totale.","Играй 30 дней всего.","合計30日プレイ。","累计游玩30天。"
"Hora de Ponta","Hora de Ponta","Rush Hour","Hora punta","Heure de pointe","Stoßzeit","Ora di Punta","Час пик","ラッシュアワー","高峰时段"
"Participa no primeiro evento.","Participa no primeiro evento.","Take part in your first event.","Participa en tu primer evento.","Participez à votre premier événement.","Nimm an deinem ersten Event teil.","Partecipa al primo evento.","Прими участие в первом событии.","初めてのイベントに参加。","参加你的首个活动。"
"Caçador de Eventos","Caçador de Eventos","Event Hunter","Cazador de eventos","Chasseur d'événements","Event-Jäger","Cacciatore di Eventi","Охотник за событиями","イベントハンター","活动猎人"
"Participa em 5 eventos.","Participa em 5 eventos.","Take part in 5 events.","Participa en 5 eventos.","Participez à 5 événements.","Nimm an 5 Events teil.","Partecipa a 5 eventi.","Прими участие в 5 событиях.","5つのイベントに参加。","参加5个活动。"
"Mestre dos Eventos","Mestre dos Eventos","Event Master","Maestro de eventos","Maître des événements","Event-Meister","Maestro degli Eventi","Мастер событий","イベントマスター","活动大师"
"Participa em 25 eventos.","Participa em 25 eventos.","Take part in 25 events.","Participa en 25 eventos.","Participez à 25 événements.","Nimm an 25 Events teil.","Partecipa a 25 eventi.","Прими участие в 25 событиях.","25のイベントに参加。","参加25个活动。"
"Gestor Ausente","Gestor Ausente","Absent Manager","Gestor ausente","Gérant absent","Abwesender Manager","Manager Assente","Отсутствующий управляющий","不在のマネージャー","离线经理"
"Recolhe mais de 1 M offline.","Recolhe mais de 1 M offline.","Collect over 1M offline.","Recoge más de 1 M sin conexión.","Récoltez plus de 1 M hors ligne.","Sammle über 1 Mio. offline.","Raccogli oltre 1 M offline.","Собери более 1 млн офлайн.","オフラインで100万以上を受け取る。","离线收取超过100万。"
"Dedicado","Dedicado","Dedicated","Dedicado","Dévoué","Engagiert","Dedito","Преданный","熱心","专注"
"Joga 30 minutos numa sessão.","Joga 30 minutos numa sessão.","Play 30 minutes in one session.","Juega 30 minutos en una sesión.","Jouez 30 minutes en une session.","Spiele 30 Minuten in einer Sitzung.","Gioca 30 minuti in una sessione.","Играй 30 минут за сессию.","1セッションで30分プレイ。","单次会话游玩30分钟。"
"Coleccionador","Coleccionador","Collector","Coleccionista","Collectionneur","Sammler","Collezionista","Коллекционер","コレクター","收藏家"
"Tens 100 gemas em simultâneo.","Tens 100 gemas em simultâneo.","Have 100 gems at once.","Ten 100 gemas a la vez.","Avoir 100 gemmes en même temps.","Habe 100 Edelsteine gleichzeitig.","Hai 100 gemme contemporaneamente.","Имей 100 гемов одновременно.","ジェムを同時に100個保有。","同时拥有100枚宝石。"
"Investidor","Investidor","Investor","Inversor","Investisseur","Investor","Investitore","Инвестор","投資家","投资者"
"Gasta 500 gemas no total.","Gasta 500 gemas no total.","Spend 500 gems total.","Gasta 500 gemas en total.","Dépensez 500 gemmes au total.","Gib 500 Edelsteine gesamt aus.","Spendi 500 gemme in totale.","Потрать 500 гемов всего.","合計500ジェムを使う。","累计消费500枚宝石。"
"Turbo de Arranque","Turbo de Arranque","Head Start Turbo","Turbo de arranque","Turbo de départ","Startturbo","Turbo di Partenza","Турбо-старт","スタートダッシュ","起步涡轮"
"Começa sempre com velocidade nível 5.","Começa sempre com velocidade nível 5.","Always start with speed level 5.","Empieza siempre con velocidad nivel 5.","Commencez toujours avec la vitesse niveau 5.","Starte immer mit Tempo Stufe 5.","Parti sempre con velocità livello 5.","Всегда начинай со скоростью ур. 5.","常に速度レベル5でスタート。","始终以速度5级开始。"
"Carga Extra","Carga Extra","Extra Cargo","Carga extra","Charge supplémentaire","Extra-Ladung","Carico Extra","Доп. груз","追加積載","额外货舱"
"Começa sempre com carga nível 5.","Começa sempre com carga nível 5.","Always start with cargo level 5.","Empieza siempre con carga nivel 5.","Commencez toujours avec la charge niveau 5.","Starte immer mit Ladung Stufe 5.","Parti sempre con carico livello 5.","Всегда начинай с грузом ур. 5.","常に積載レベル5でスタート。","始终以货舱5级开始。"
"Começa sempre com valor nível 5.","Começa sempre com valor nível 5.","Always start with value level 5.","Empieza siempre con valor nivel 5.","Commencez toujours avec la valeur niveau 5.","Starte immer mit Wert Stufe 5.","Parti sempre con valore livello 5.","Всегда начинай со стоимостью ур. 5.","常に価値レベル5でスタート。","始终以价值5级开始。"
"Gestor Eficiente","Gestor Eficiente","Efficient Manager","Gestor eficiente","Gérant efficace","Effizienter Manager","Manager Efficiente","Эффективный управляющий","効率マネージャー","高效经理"
"+10% de eficiência offline permanente.","+10% de eficiência offline permanente.","+10% permanent offline efficiency.","+10% de eficiencia sin conexión permanente.","+10% d'efficacité hors ligne permanente.","+10% dauerhafte Offline-Effizienz.","+10% di efficienza offline permanente.","+10% к офлайн-эффективности навсегда.","オフライン効率 +10% 永続。","+10% 永久离线效率。"
"Operações Noturnas","Operações Noturnas","Night Operations","Operaciones nocturnas","Opérations nocturnes","Nachtbetrieb","Operazioni Notturne","Ночные операции","夜間オペレーション","夜间运营"
"+20% de eficiência offline permanente.","+20% de eficiência offline permanente.","+20% permanent offline efficiency.","+20% de eficiencia sin conexión permanente.","+20% d'efficacité hors ligne permanente.","+20% dauerhafte Offline-Effizienz.","+20% di efficienza offline permanente.","+20% к офлайн-эффективности навсегда.","オフライン効率 +20% 永続。","+20% 永久离线效率。"
"Hangar Herdado","Hangar Herdado","Inherited Hangar","Hangar heredado","Hangar hérité","Geerbter Hangar","Hangar Ereditato","Унаследованный ангар","継承格納庫","继承机库"
"Começa sempre com 10 drones extra.","Começa sempre com 10 drones extra.","Always start with 10 extra drones.","Empieza siempre con 10 drones extra.","Commencez toujours avec 10 drones en plus.","Starte immer mit 10 Extra-Drohnen.","Parti sempre con 10 droni extra.","Всегда начинай с 10 доп. дронами.","常にドローン10機追加でスタート。","始终额外拥有10架无人机开始。"
"Hangar Militar","Hangar Militar","Military Hangar","Hangar militar","Hangar militaire","Militärhangar","Hangar Militare","Военный ангар","軍用格納庫","军用机库"
"Começa sempre com 25 drones extra.","Começa sempre com 25 drones extra.","Always start with 25 extra drones.","Empieza siempre con 25 drones extra.","Commencez toujours avec 25 drones en plus.","Starte immer mit 25 Extra-Drohnen.","Parti sempre con 25 droni extra.","Всегда начинай с 25 доп. дронами.","常にドローン25機追加でスタート。","始终额外拥有25架无人机开始。"
"Prévia VIP","Prévia VIP","VIP Preview","Adelanto VIP","Aperçu VIP","VIP-Vorschau","Anteprima VIP","VIP-превью","VIPプレビュー","VIP 预览"
"Activa VIP por 24 h após cada prestige.","Activa VIP por 24 h após cada prestige.","Activates VIP for 24h after each prestige.","Activa VIP durante 24 h tras cada prestigio.","Active le VIP pendant 24 h après chaque prestige.","Aktiviert VIP für 24h nach jedem Prestige.","Attiva il VIP per 24 h dopo ogni prestigio.","Включает VIP на 24ч после каждого престижа.","各プレステージ後、24時間VIPを有効化。","每次转生后激活VIP 24小时。"
"Voos Internacionais","Voos Internacionais","International Flights","Vuelos internacionales","Vols internationaux","Internationale Flüge","Voli Internazionali","Международные рейсы","国際便","国际航班"
"Começa no 2.º país após prestige.","Começa no 2.º país após prestige.","Start in the 2nd country after prestige.","Empieza en el 2.º país tras prestigio.","Commencez au 2e pays après un prestige.","Starte nach Prestige im 2. Land.","Parti dal 2º paese dopo il prestigio.","Начинай во 2-й стране после престижа.","プレステージ後、2番目の国からスタート。","转生后从第2个国家开始。"
"Pacote Inicial","Pacote Inicial","Starter Pack","Pack inicial","Pack de démarrage","Starterpaket","Pacchetto Iniziale","Стартовый набор","スターターパック","新手礼包"
"+300 Gemas, +5 drones e Lucros x2 por 1h. Arranque rápido!","+300 Gemas, +5 drones e Lucros x2 por 1h. Arranque rápido!","+300 Gems, +5 drones and 2x Profits for 1h. Quick start!","+300 Gemas, +5 drones y Ganancias x2 por 1h. ¡Arranque rápido!","+300 Gemmes, +5 drones et Profits x2 pendant 1h. Départ rapide !","+300 Edelsteine, +5 Drohnen und 2x Gewinn für 1h. Schnellstart!","+300 Gemme, +5 droni e Profitti x2 per 1h. Partenza rapida!","+300 гемов, +5 дронов и x2 прибыли на 1ч. Быстрый старт!","+300 ジェム、ドローン +5 機、1時間 利益2倍。スピードスタート！","+300 宝石、+5 架无人机及1小时利润×2。快速起步！"
"Passe VIP","Passe VIP","VIP Pass","Pase VIP","Passe VIP","VIP-Pass","Pass VIP","VIP-пропуск","VIPパス","VIP 通行证"
"Lucros x2 SEMPRE ativos, offline até 24h, +500 Gemas.","Lucros x2 SEMPRE ativos, offline até 24h, +500 Gemas.","2x Profits ALWAYS active, offline up to 24h, +500 Gems.","Ganancias x2 SIEMPRE activas, sin conexión hasta 24h, +500 Gemas.","Profits x2 TOUJOURS actifs, hors ligne jusqu'à 24h, +500 Gemmes.","2x Gewinn IMMER aktiv, offline bis 24h, +500 Edelsteine.","Profitti x2 SEMPRE attivi, offline fino a 24h, +500 Gemme.","x2 прибыли ВСЕГДА, офлайн до 24ч, +500 гемов.","利益2倍が常時有効、オフライン最大24時間、+500 ジェム。","利润×2 永久激活，离线最长24小时，+500 宝石。"
"Lucros x2 (para sempre)","Lucros x2 (para sempre)","2x Profits (forever)","Ganancias x2 (para siempre)","Profits x2 (pour toujours)","2x Gewinn (für immer)","Profitti x2 (per sempre)","x2 прибыли (навсегда)","利益2倍（永続）","利润×2（永久）"
"Duplica todos os lucros, para sempre.","Duplica todos os lucros, para sempre.","Doubles all profits, forever.","Duplica todas las ganancias, para siempre.","Double tous les profits, pour toujours.","Verdoppelt jeden Gewinn, für immer.","Raddoppia tutti i profitti, per sempre.","Удваивает всю прибыль, навсегда.","すべての利益を永久に2倍。","所有利润翻倍，永久有效。"
"Bolso de Gemas","Bolso de Gemas","Pocket of Gems","Bolsillo de gemas","Poche de gemmes","Edelstein-Tasche","Tasca di Gemme","Карман гемов","ジェムのポケット","宝石口袋"
"+50 Gemas","+50 Gemas","+50 Gems","+50 Gemas","+50 Gemmes","+50 Edelsteine","+50 Gemme","+50 гемов","+50 ジェム","+50 宝石"
"Punhado de Gemas","Punhado de Gemas","Handful of Gems","Puñado de gemas","Poignée de gemmes","Handvoll Edelsteine","Manciata di Gemme","Горсть гемов","ジェムひとつかみ","一把宝石"
"+120 Gemas","+120 Gemas","+120 Gems","+120 Gemas","+120 Gemmes","+120 Edelsteine","+120 Gemme","+120 гемов","+120 ジェム","+120 宝石"
"Saco de Gemas","Saco de Gemas","Bag of Gems","Saco de gemas","Sac de gemmes","Beutel voll Edelsteine","Sacca di Gemme","Мешок гемов","ジェムの袋","宝石袋"
"+650 Gemas (bónus +30%)","+650 Gemas (bónus +30%)","+650 Gems (+30% bonus)","+650 Gemas (bonus +30%)","+650 Gemmes (bonus +30%)","+650 Edelsteine (+30% Bonus)","+650 Gemme (bonus +30%)","+650 гемов (бонус +30%)","+650 ジェム（ボーナス +30%）","+650 宝石（+30% 加成）"
"Cofre de Gemas","Cofre de Gemas","Vault of Gems","Cofre de gemas","Coffre de gemmes","Edelstein-Tresor","Forziere di Gemme","Сундук гемов","ジェムの金庫","宝石保险库"
"+1900 Gemas (óptimo valor)","+1900 Gemas (óptimo valor)","+1900 Gems (great value)","+1900 Gemas (gran valor)","+1900 Gemmes (excellent rapport)","+1900 Edelsteine (top Wert)","+1900 Gemme (ottimo valore)","+1900 гемов (отличная цена)","+1900 ジェム（お得）","+1900 宝石（超值）"
"Tesouro de Gemas","Tesouro de Gemas","Treasure of Gems","Tesoro de gemas","Trésor de gemmes","Edelstein-Schatz","Tesoro di Gemme","Сокровище гемов","ジェムの宝庫","宝石宝藏"
"+3800 Gemas (melhor valor)","+3800 Gemas (melhor valor)","+3800 Gems (best value)","+3800 Gemas (mejor valor)","+3800 Gemmes (meilleur rapport)","+3800 Edelsteine (bester Wert)","+3800 Gemme (miglior valore)","+3800 гемов (лучшая цена)","+3800 ジェム（最もお得）","+3800 宝石（最超值）"
"Ganhos ×2 durante 5 min!","Ganhos ×2 durante 5 min!","Earnings ×2 for 5 min!","¡Ganancias ×2 durante 5 min!","Gains ×2 pendant 5 min !","Verdienst ×2 für 5 Min!","Guadagni ×2 per 5 min!","Заработок ×2 на 5 мин!","獲得 ×2 を5分間！","收益×2 持续5分钟！"
